"school.name","school.city","school.state","school.ownership","school.degrees_awarded.highest","school.degrees_awarded.predominant"
"College of the Desert","Palm Desert","CA",1,2,2
"Design Institute of San Diego","San Diego","CA",3,3,3
"Dharma Realm Buddhist University","Ukiah","CA",2,0,0
"Diablo Valley College","Pleasant Hill","CA",1,2,2
"Dominican University of California","San Rafael","CA",2,4,3
"Dominican School of Philosophy & Theology","Berkeley","CA",2,4,4
"East Los Angeles College","Monterey Park","CA",1,2,2
"El Camino Community College District","Torrance","CA",1,2,2
"Emperor's College of Traditional Oriental Medicine","Santa Monica","CA",3,4,4
"Empire College","Santa Rosa","CA",3,4,4
"Evergreen Valley College","San Jose","CA",1,2,2
"FIDM-Fashion Institute of Design & Merchandising","Los Angeles","CA",3,4,2
"Feather River Community College District","Quincy","CA",1,3,2
"Federico Beauty Institute","Sacramento","CA",3,1,1
"Fielding Graduate University","Santa Barbara","CA",2,4,4
"Five Branches University","Santa Cruz","CA",3,4,4
"Redondo Beach Beauty College","Torrance","CA",3,1,1
"Foothill College","Los Altos Hills","CA",1,3,1
"Franciscan School of Theology","San Diego","CA",2,4,4
"Fredrick and Charles Beauty College","Eureka","CA",3,1,1
"Fresno City College","Fresno","CA",1,2,2
"Fresno Pacific University","Fresno","CA",2,4,3
"Fuller Theological Seminary","Pasadena","CA",2,4,4
"Fullerton College","Fullerton","CA",1,2,2
"Gavilan College","Gilroy","CA",1,2,2
"Gemological Institute of America-Carlsbad","Carlsbad","CA",2,1,1
"Glendale Community College","Glendale","CA",1,2,2
"Glendale Career College","Glendale","CA",3,3,2
"Golden Gate University","San Francisco","CA",2,4,3
"Golden West College","Huntington Beach","CA",1,2,2
"Graduate Theological Union","Berkeley","CA",2,4,4
"Grossmont College","El Cajon","CA",1,2,2
"Salon Success Academy-Riverside","Riverside","CA",3,1,1
"Hartnell College","Salinas","CA",1,2,2
"Harvey Mudd College","Claremont","CA",2,3,3
"Hilltop Beauty School","Daly City","CA",3,1,1
"Pacifica Graduate Institute","Carpinteria","CA",3,4,4
"California State Polytechnic University-Humboldt","Arcata","CA",1,4,3
"Humphreys University-Stockton and Modesto Campuses","Stockton","CA",2,4,3
"Imperial Valley College","Imperial","CA",1,2,2
"Institute for Business and Technology","Santa Clara","CA",3,1,1
"Interior Designers Institute","Newport Beach","CA",3,4,2
"Irvine Valley College","Irvine","CA",1,2,2
"Bellus Academy-El Cajon","El Cajon","CA",3,1,1
"American Jewish University","Los Angeles","CA",2,4,1
"Reedley College","Reedley","CA",1,2,1
"Life Pacific University","San Dimas","CA",2,4,3
"University of La Verne","La Verne","CA",2,4,3
"Laguna College of Art and Design","Laguna Beach","CA",2,4,3
"Lake Tahoe Community College","South Lake Tahoe","CA",1,2,2
"Lancaster Beauty School","Lancaster","CA",3,1,1
"Laney College","Oakland","CA",1,2,2
"Lassen Community College","Susanville","CA",1,2,2
"Latin American Bible Institute","La Puente","CA",2,3,2
"Life Chiropractic College West","Hayward","CA",2,4,4
"Lincoln University","Oakland","CA",2,4,3
"Southern California Seminary","El Cajon","CA",2,4,3
"La Sierra University","Riverside","CA",2,4,3
"Loma Linda University","Loma Linda","CA",2,4,3
"Long Beach City College","Long Beach","CA",1,2,1
"Southern California University of Health Sciences","Whittier","CA",2,4,1
"Los Angeles Harbor College","Wilmington","CA",1,2,2
"Los Angeles Pierce College","Woodland Hills","CA",1,2,2
"Los Angeles Southwest College","Los Angeles","CA",1,2,2
"Los Angeles Trade Technical College","Los Angeles","CA",1,2,1
"Los Angeles Valley College","Valley Glen","CA",1,2,2
"The Master's University and Seminary","Santa Clarita","CA",2,4,3
"Los Angeles City College","Los Angeles","CA",1,2,2
"Los Angeles County College of Nursing and Allied Health","Los Angeles","CA",1,2,2
"Los Angeles Mission College","Sylmar","CA",1,2,2
"Los Medanos College","Pittsburg","CA",1,2,2
"Loyola Marymount University","Los Angeles","CA",2,4,3
"Lu Ross Academy","Ventura","CA",3,1,1
"Lyle's College of Beauty","Bakersfield","CA",3,1,1
"Lyle's College of  Beauty","Fresno","CA",3,1,1
"Lytles Redwood Empire Beauty College","Santa Rosa","CA",3,1,1
"MTI College","Sacramento","CA",3,2,1
"College of Marin","Kentfield","CA",1,2,2
"Mendocino College","Ukiah","CA",1,2,2
"Menlo College","Atherton","CA",2,3,3
"Merced College","Merced","CA",1,2,2
"Merritt College","Oakland","CA",1,2,2
"Northeastern University Oakland","Oakland","CA",2,0,3
"MiraCosta College","Oceanside","CA",1,3,1
"Mission College","Santa Clara","CA",1,2,2
"Modern Beauty Academy","Oxnard","CA",3,1,1
"Modesto Junior College","Modesto","CA",1,3,2
"Moler Barber College","Oakland","CA",3,1,1
"Middlebury Institute of International Studies at Monterey","Monterey","CA",2,4,3
"Monterey Peninsula College","Monterey","CA",1,2,2
"Moorpark College","Moorpark","CA",1,2,2
"Mt San Antonio College","Walnut","CA",1,2,2
"Mount Saint Mary's University","Los Angeles","CA",2,4,3
"Mt San Jacinto Community College District","San Jacinto","CA",1,2,2
"Musicians Institute","Hollywood","CA",3,4,1
"Napa Valley College","Napa","CA",1,2,2
"National Holistic Institute","Emeryville","CA",3,1,1
"National University","San Diego","CA",2,4,3
"Naval Postgraduate School","Monterey","CA",1,4,4
"Newschool of Architecture and Design","San Diego","CA",3,4,3
"North Adrian's College of Beauty Inc","Modesto","CA",3,1,1
"North-West College-Pomona","Pomona","CA",3,1,1
"North-West College-West Covina","West Covina","CA",3,2,1
"North-West College-Van Nuys","Van Nuys","CA",3,1,1
"San Francisco Bay University","Fremont","CA",2,4,3
"Notre Dame de Namur University","Belmont","CA",2,4,3
"Occidental College","Los Angeles","CA",2,3,3
"Ohlone College","Fremont","CA",1,2,2
"Orange Coast College","Costa Mesa","CA",1,2,1
"Otis College of Art and Design","Los Angeles","CA",2,4,3
"Oxnard College","Oxnard","CA",1,2,2
"Hope International University","Fullerton","CA",2,4,3
"Concorde Career College-San Diego","San Diego","CA",3,2,1
"Palo Alto University","Palo Alto","CA",2,4,3
"Pacific Oaks College","Pasadena","CA",2,4,3
"Pacific School of Religion","Berkeley","CA",2,4,4
"Pacific States University","Los Angeles","CA",2,4,4
"Pacific Union College","Angwin","CA",2,4,3
"University of the Pacific","Stockton","CA",2,4,3
"Palo Verde College","Blythe","CA",1,2,2
"Palomar College","San Marcos","CA",1,2,1
"Pasadena City College","Pasadena","CA",1,2,2
"Pepperdine University","Malibu","CA",2,4,3
"Pitzer College","Claremont","CA",2,3,3
"Point Loma Nazarene University","San Diego","CA",2,4,3
"Pomona College","Claremont","CA",2,3,3
"Porterville College","Porterville","CA",1,2,2
"Professional Institute of Beauty","El Monte","CA",3,1,1
"Santa Ana College","Santa Ana","CA",1,3,1
"Pardee RAND Graduate School","Santa Monica","CA",2,4,4
"Shasta School of Cosmetology","Redding","CA",3,1,1
"University of Redlands","Redlands","CA",2,4,3
"College of the Redwoods","Eureka","CA",1,2,2
"Salon Success Academy-Upland","Upland","CA",3,1,1
"Salon Success Academy-Corona","Corona","CA",3,1,1
"Rio Hondo College","Whittier","CA",1,3,2
"Riverside City College","Riverside","CA",1,2,2
"Dongguk University Los Angeles","Los Angeles","CA",2,4,4
"Sacramento City College","Sacramento","CA",1,2,2
"Saddleback College","Mission Viejo","CA",1,2,2
"Samuel Merritt University","Oakland","CA",2,4,3
"San Diego City College","San Diego","CA",1,2,2
"San Diego Mesa College","San Diego","CA",1,3,2
"San Diego Miramar College","San Diego","CA",1,2,2
"San Diego State University","San Diego","CA",1,4,3
"University of San Diego","San Diego","CA",2,4,3
"San Francisco Conservatory of Music","San Francisco","CA",2,4,3
"San Francisco State University","San Francisco","CA",1,4,3
"University of San Francisco","San Francisco","CA",2,4,3
"San Joaquin College of Law","Clovis","CA",2,4,4
"San Joaquin Delta College","Stockton","CA",1,2,2
"San Joaquin Valley College-Visalia","Visalia","CA",3,3,1
"San Joaquin Valley College-Bakersfield","Bakersfield","CA",3,2,1
"William Jessup University","Rocklin","CA",2,4,3
"San Jose City College","San Jose","CA",1,2,1
"San Jose State University","San Jose","CA",1,4,3
"College of San Mateo","San Mateo","CA",1,2,2
"Santa Barbara City College","Santa Barbara","CA",1,2,2
"Santa Clara University","Santa Clara","CA",2,4,3
"Santa Monica College","Santa Monica","CA",1,3,2
"Santa Rosa Junior College","Santa Rosa","CA",1,2,1
"Saybrook University","Pasadena","CA",2,4,4
"Scripps College","Claremont","CA",2,4,3
"College of the Sequoias","Visalia","CA",1,2,2
"Shasta Bible College and Graduate School","Redding","CA",2,4,3
"Shasta College","Redding","CA",1,3,2
"Sierra College","Rocklin","CA",1,2,2
"Sierra College of Beauty","Merced","CA",3,1,1
"Trinity Law School","Santa Ana","CA",2,4,4
"Simpson University","Redding","CA",2,4,3
"College of the Siskiyous","Weed","CA",1,2,2
"Charles A Jones Career and Education Center","Sacramento","CA",1,1,1
"Skyline College","San Bruno","CA",1,3,2
"San Bernardino Valley College","San Bernardino","CA",1,2,1
"Saint Mary's College of California","Moraga","CA",2,4,3
"Solano Community College","Fairfield","CA",1,3,2
"Sonoma State University","Rohnert Park","CA",1,4,3
"South Baylo University","Anaheim","CA",2,4,4
"South Coast College","Orange","CA",3,2,1
"Vanguard University of Southern California","Costa Mesa","CA",2,4,3
"Concorde Career College-Garden Grove","Garden Grove","CA",3,2,1
"Southwestern College","Chula Vista","CA",1,2,2
"Starr King School for the Ministry","Oakland","CA",2,4,4
"Marshall B Ketchum University","Fullerton","CA",2,4,4
"Southern California Institute of Architecture","Los Angeles","CA",2,4,3
"University of Southern California","Los Angeles","CA",2,4,3
"Southwestern Law School","Los Angeles","CA",2,4,4
"Taft College","Taft","CA",1,2,2
"Claremont School of Theology","Claremont","CA",2,4,4
"Thomas Aquinas College","Santa Paula","CA",2,3,3
"Epic Bible College & Graduate School","Sacramento","CA",2,4,3
"UEI College-Huntington Park","Huntington Park","CA",3,1,1
"Concorde Career College-San Bernardino","San Bernardino","CA",3,2,1
"Concorde Career College-North Hollywood","North Hollywood","CA",3,2,1
"Ventura College","Ventura","CA",1,2,2
"The Colleges of Law at Ventura","Ventura","CA",2,4,4
"Bridges Beauty College","Victorville","CA",3,1,1
"Victor Valley College","Victorville","CA",1,2,1
"Berkeley City College","Berkeley","CA",1,2,2
"Walden University","Minneapolis","MN",3,4,3
"Waynes College of Beauty","Salinas","CA",3,1,1
"Coalinga College","Coalinga","CA",1,2,2
"West Los Angeles College","Culver City","CA",1,3,2
"West Valley College","Saratoga","CA",1,2,2
"Carrington College-Sacramento","Sacramento","CA",3,2,1
"Westminster Theological Seminary in California","Escondido","CA",2,4,4
"Westmont College","Santa Barbara","CA",2,3,3
"Whittier College","Whittier","CA",2,4,3
"Woodbury University","Burbank","CA",2,4,3
