"","date","locality","state","school.name","location","title","event_type","organizations","participants","claims_summary","size_mean","year","schools","method","school.city","school.state","school.ownership","school.degrees_awarded.highest","state_politics","public","region","pal","arrests"
"1636",2024-11-21,"santa barbara","ca","University of California-Santa Barbara","university of california santa barbara","University Strike Against Genocide",NA,"UCSB SJP","students","for divesting University of California from Israel;against genocide in Gaza;for Palestinian liberation;against imperialism;for student-worker solidarity",NA,2024,NA,"Chenoweth",NA,"CA",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"1637",2024-11-21,"colorado springs","co","University of Colorado Colorado Springs","university of colorado colorado springs","Stand Out Against Genocide",NA,"UCCS SJP","students","against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Colorado Springs","CO",1,4,"Democratic-State","Public","west","Gaza Related","No Arrests"
"1638",2024-11-21,"moscow","id","University of Idaho","university of idaho",NA,NA,"UNITY","students","against the potential closure of DEI offices at the University of Idaho",24,2024,NA,"Chenoweth","Moscow","ID",1,4,"Republican-State","Public","west","Non-Gaza Related","No Arrests"
"1639",2024-11-21,"chicago","il","DePaul University","depaul university","Stop the Hate: Rally for Jewish Students",NA,"Chicago Jewish Alliance; Jew Hate Database; Generation Zion; Jews in School; The David & Goliath Project; Stand Strong; SAFE Campus; End Jew Hatred; Combat Antisemitism Movement; Israeli American Council; Quentin Road Baptist Church",NA,"against violent attack on demonstrators at DePaul University;against antisemitism;for mask restrictions;for banning terrorist-connected organizations;for secure space for open dialogue;in solidarity with Israel",37,2024,NA,"Chenoweth","Chicago","IL",2,4,"Democratic-State","Private","midwest","Gaza Related","Arrests"
"1640",2024-11-21,"dekalb","il","Northern Illinois University","northern illinois university","Strike Against Genocide",NA,"SJP at NIU","students","against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Dekalb","IL",1,4,"Democratic-State","Public","midwest","Gaza Related","No Arrests"
"1641",2024-11-21,"cambridge","ma","Harvard University","harvard university","University Walkout Against Genocide",NA,"Harvard Out of Occupied Palestine","students","for divesting Harvard University from Israel;against genocide in Gaza;for Palestinian liberation",40,2024,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1642",2024-11-21,"cambridge","ma","Harvard University","harvard university",NA,NA,NA,NA,"against pro-Palestine demonstration;in solidarity with Israel;against antisemitism",1,2024,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1643",2024-11-21,"cambridge","ma","Harvard University","harvard university","Keffiyeh Thursdays",NA,"Harvard Undergraduate Palestine Solidarity Committee","students","for Palestinian liberation",NA,2024,NA,"Chenoweth","Cambridge","MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1644",2024-11-21,"medford","ma","Tufts University","tufts university","Walk Out for Palestine",NA,"ISOT; Tufts Muslim Student Association; Alternative Jews at Tufts; Coalition for Palestinian Liberation","students","for divesting Tufts University from Israel;against genocide in Gaza;for Palestinian liberation",NA,2024,NA,"Chenoweth","Medford","MA",2,4,"Democratic-State","Private","northeast","Gaza Related","No Arrests"
"1645",2024-11-21,"ann arbor","mi","University of Michigan-Ann Arbor","university of michigan","Walk Out for Gaza",NA,"TAHRIR Coalition","students","for divesting University of Michigan from Israel;against repression of pro-Palestinian dissent at University of Michigan;against genocide in Gaza;for Palestinian liberation",65,2024,NA,"Chenoweth",NA,"MI",1,4,"Republican-State","Public","midwest","Gaza Related","Arrests"
